"Site Crawled","https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/"
"Start Date","2026-03-03"
"Start Time","14:02:29"
"Last Modified Date","2026-03-03"
"Last Modified Time","14:05:50"
"Elapsed","00:03:20"
"Report Date","2026-03-03"
"Report Time","14:05:50"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"ARIA Input Fields Require Accessible Name","0","0.00%","15",""
"ARIA Meter Nodes Require Accessible Name","0","0.00%","15",""
"ARIA Progressbar Nodes Require Accessible Name","0","0.00%","15",""
"ARIA Role Should Be Appropriate For Element","0","0.00%","15",""
"ARIA Roles Must Be Contained By Required Parent","0","0.00%","15",""
"ARIA Roles Require Valid Values","0","0.00%","15",""
"ARIA Toggle Fields Require Accessible Name","0","0.00%","15",""
"ARIA Tooltip Nodes Require Accessible Name","0","0.00%","15",""
"ARIA Treeitem Nodes Require Accessible Name","0","0.00%","15",""
"Certain ARIA Roles Must Contain Specific Children","0","0.00%","15",""
"Deprecated ARIA Roles Must Not Be Used","0","0.00%","15",""
"Aria-braille Require Non-braille Equivalent","0","0.00%","15",""
"Aria-hidden Elements Contains Focusable Elements","0","0.00%","15",""
"Aria-hidden=true Must Not Be Used In <body>","0","0.00%","15",""
"Elements Must Only Use Permitted ARIA Attributes","0","0.00%","15",""
"Elements Must Use Allowed ARIA Attributes","0","0.00%","15",""
"IDs Used In ARIA & Labels Must Be Unique","0","0.00%","15",""
"Page Requires Means To Bypass Repeated Blocks","0","0.00%","15",""
"All Page Content Must Be Contained By Landmarks","0","0.00%","15",""
"Page Requires One Main Landmark","0","0.00%","15",""
"Page Must Not Have More Than One Banner Landmark","0","0.00%","15",""
"Banner Landmark Must Not Be In Another Landmark","0","0.00%","15",""
"Page Must Not Have Multiple Contentinfo Landmarks","0","0.00%","15",""
"Page Requires At Most One Main Landmark","0","0.00%","15",""
"Complementary Landmarks & Asides Must Be Top Level","0","0.00%","15",""
"Contentinfo Landmark Must Be Top Level Landmark","0","0.00%","15",""
"Main Landmark Must Not Be In Another Landmark","0","0.00%","15",""
"Landmarks Require Unique Role Or Accessible Name","0","0.00%","15",""
"Form Field Must Not Have Multiple Label Elements","0","0.00%","15",""
"Form <input> Elements Require Labels","0","0.00%","15",""
"Form Elements Should Have Visible Label","0","0.00%","15",""
"Autocomplete Attribute Must Be Used Correctly","0","0.00%","15",""
"Frames Require Title Attribute","0","0.00%","15",""
"Frames Require Unique Title Attribute","0","0.00%","15",""
"Frames Should Be Tested With axe-core","0","0.00%","15",""
"Frames With Focusable Content Must Not Use tabindex=-1","0","0.00%","15",""
"Page Must Contain <title>","0","0.00%","15",""
"Page Must Contain <h1>","0","0.00%","15",""
"Heading Levels Should Only Increase By One","0","0.00%","15",""
"Headings Should Not Be Empty","0","0.00%","15",""
"Meta Viewport Should Allow Zoom & Scale Up to 500%","0","0.00%","15",""
"Meta Viewport Zoom & Scaling Disabled","0","0.00%","15",""
"HTML Element Lang Attribute Value Must Be Valid","0","0.00%","15",""
"HTML Element Requires Lang Attribute","0","0.00%","15",""
"HTML Lang & XML Lang Value Should Match","0","0.00%","15",""
"Lang Attribute Requires Valid Value","0","0.00%","15",""
"Delayed Meta Refresh Must Not Be Used","0","0.00%","15",""
"Timed Meta Refresh Must Not Exist","0","0.00%","15",""
"Image Button Requires Alternate Text","0","0.00%","15",""
"Images Require Alternate Text","0","0.00%","15",""
"<object> Elements Require Alternate Text","0","0.00%","15",""
"Active <area> Elements Require Alternate Text","0","0.00%","15",""
"Alt Text Should Not Be Repeated As Text","0","0.00%","15",""
"Elements Marked role=img Require Alternate Text","0","0.00%","15",""
"SVG Images & Graphics Require Accessible Text","0","0.00%","15",""
"Server-Side Image Maps Must Not Be Used","0","0.00%","15",""
"<video> Elements Require <track> For Captions","0","0.00%","15",""
"<video> or <audio> Elements Must Not Auto-play","0","0.00%","15",""
"Buttons Require Discernible Text","0","0.00%","15",""
"Input Buttons Require Discernible Text","0","0.00%","15",""
"Inline Text Spacing Must Be Adjustable","0","0.00%","15",""
